ensembl_id	name	chromosome	description	feature_type	strand	start	end
SPAC56F8.02	SPAC56F8.02	I	AMP binding enzyme (predicted) [Source:PomBase;Acc:SPAC56F8.02]	protein_coding	1	1124058	1129104

SPBC3B8.08	SPBC3B8.08	II	Sjogren's syndrome/scleroderma autoantigen 1 family (predicted) [Source:PomBase;Acc:SPBC3B8.08]	protein_coding	-1	3377709	3378587

SPAC23H4.09	cdb4	I	curved DNA-binding protein Cdb4, peptidase family [Source:PomBase;Acc:SPAC23H4.09]	protein_coding	-1	1591873	1593194

SPAC343.17c	SPAC343.17c	I	WD repeat protein, human WDR70 family [Source:PomBase;Acc:SPAC343.17c]	protein_coding	-1	1673685	1680143

SPBC26H8.13c	SPBC26H8.13c	II	Siva family protein, human apoptosis-inducing factor ortholog (predicted) [Source:PomBase;Acc:SPBC26H8.13c]	protein_coding	-1	3959939	3961152

SPBC16G5.09	SPBC16G5.09	II	serine carboxypeptidase (predicted) [Source:PomBase;Acc:SPBC16G5.09]	protein_coding	1	4228741	4230768

SPAC25H1.04	mug105	I	ubiquitin-fold modifier-specific protease (predicted) [Source:PomBase;Acc:SPAC25H1.04]	protein_coding	1	2529085	2529901

SPBPB21E7.04c	SPBPB21E7.04c	II	human COMT ortholog 2 [Source:PomBase;Acc:SPBPB21E7.04c]	protein_coding	-1	64487	65620

SPBC428.15	SPBC428.15	II	Obg-like ATPase (predicted) [Source:PomBase;Acc:SPBC428.15]	protein_coding	1	472084	473687

SPAC688.13	scn3	I	TatD DNase family Scn1 [Source:PomBase;Acc:SPAC688.13]	protein_coding	1	3139395	3141117

SPAC688.16	SPAC688.16	I	human TMEM254 ortholog [Source:PomBase;Acc:SPAC688.16]	protein_coding	1	3143864	3144530

SPAC3A11.10c	SPAC3A11.10c	I	dipeptidyl peptidase (predicted) [Source:PomBase;Acc:SPAC3A11.10c]	protein_coding	1	3448125	3449855

SPAC17A2.02c	SPAC17A2.02c	I	DUF887 family protein [Source:PomBase;Acc:SPAC17A2.02c]	protein_coding	-1	3552290	3554138

SPAC8C9.11	fra2	I	transcriptional repressor protein BolA domain (predicted) [Source:PomBase;Acc:SPAC8C9.11]	protein_coding	1	3658390	3659824

SPAC15A10.10	mde6	I	Muskelin homolog (predicted) [Source:PomBase;Acc:SPAC15A10.10]	protein_coding	1	3696549	3700027

SPAC1071.05	SPAC1071.05	I	S-adenosylmethionine-dependent methyltransferase (predicted) [Source:PomBase;Acc:SPAC1071.05]	protein_coding	1	3864467	3866158

SPAC2F3.18c	SPAC2F3.18c	I	ribonuclease kappa ortholog (predicted) [Source:PomBase;Acc:SPAC2F3.18c]	protein_coding	-1	3942040	3942965

SPAC27E2.03c	SPAC27E2.03c	I	Obg-Like ATPase (predicted) [Source:PomBase;Acc:SPAC27E2.03c]	protein_coding	-1	4005717	4007722

SPAC19G12.17	erh1	I	enhancer of rudimentary homolog Erh1 [Source:PomBase;Acc:SPAC19G12.17]	protein_coding	-1	4066258	4066971

SPBP22H7.04	SPBP22H7.04	II	human TMEM186 ortholog [Source:PomBase;Acc:SPBP22H7.04]	protein_coding	1	1437967	1440557

SPBC32H8.03	bem46	II	esterase/lipase (predicted) [Source:PomBase;Acc:SPBC32H8.03]	protein_coding	1	1457557	1458849

SPBC18E5.10	SPBC18E5.10	II	iron-sulfur cluster protein (predicted) [Source:PomBase;Acc:SPBC18E5.10]	protein_coding	1	2092713	2095872

SPAC869.08	pcm2	I	protein-L-isoaspartate O-methyltransferase Pcm2 (predicted) [Source:PomBase;Acc:SPAC869.08]	protein_coding	-1	5497918	5499280

SPAC977.15	SPAC977.15	I	dienelactone hydrolase family [Source:PomBase;Acc:SPAC977.15]	protein_coding	1	62961	63862

SPAC12G12.11c	SPAC12G12.11c	I	DUF544 family protein [Source:PomBase;Acc:SPAC12G12.11c]	protein_coding	1	326440	328122

SPBC2A9.11c	iss9	II	conserved eukaryotic protein [Source:PomBase;Acc:SPBC2A9.11c]	protein_coding	-1	2965105	2966645

SPAC607.08c	SPAC607.08c	I	DUF726 family protein [Source:PomBase;Acc:SPAC607.08c]	protein_coding	-1	2048421	2050160

SPBC1604.16c	SPBC1604.16c	II	RNA-binding protein, G-patch type (predicted) [Source:PomBase;Acc:SPBC1604.16c]	protein_coding	1	3901632	3902410

SPBC215.06c	SPBC215.06c	II	human LYAR homolog [Source:PomBase;Acc:SPBC215.06c]	protein_coding	-1	4037989	4038940

SPBC16C6.01c	SPBC16C6.01c	II	lysine methyltransferase (predicted) [Source:PomBase;Acc:SPBC16C6.01c]	protein_coding	-1	4319837	4321858

SPAC652.01	SPAC652.01	I	BC10 family protein [Source:PomBase;Acc:SPAC652.01]	protein_coding	1	3281408	3283071

SPAC27D7.08c	SPAC27D7.08c	I	DUF890 family protein, predicted methyltransferase [Source:PomBase;Acc:SPAC27D7.08c]	protein_coding	-1	4521375	4523223

SPAC1834.09	mug51	I	variant protein kinase 19 family protein [Source:PomBase;Acc:SPAC1834.09]	protein_coding	1	4716549	4717760

SPAPYUG7.06	sdu1	I	PPPDE peptidase family (predicted) [Source:PomBase;Acc:SPAPYUG7.06]	protein_coding	1	4754130	4754926

SPAC19B12.11c	SPAC19B12.11c	I	zinc finger protein, human ZNF593 ortholog [Source:PomBase;Acc:SPAC19B12.11c]	protein_coding	-1	4903418	4904283

SPAC26F1.12c	hgh1	I	conserved eukaryotic protein Hgh1 [Source:PomBase;Acc:SPAC26F1.12c]	protein_coding	1	5153823	5155228

SPAPJ691.02	SPAPJ691.02	I	yippee-like protein [Source:PomBase;Acc:SPAPJ691.02]	protein_coding	1	5187647	5189187

SPBC32F12.07c	SPBC32F12.07c	II	ubiquitin-protein ligase E3, MARCH family (predicted) [Source:PomBase;Acc:SPBC32F12.07c]	protein_coding	-1	2795240	2797769

SPAC11E3.14	SPAC11E3.14	I	conserved eukaryotic protein [Source:PomBase;Acc:SPAC11E3.14]	protein_coding	1	5311344	5314362

SPBC20F10.07	SPBC20F10.07	II	GRAM domain protein [Source:PomBase;Acc:SPBC20F10.07]	protein_coding	1	3295412	3298548

SPBP8B7.31	SPBP8B7.31	II	acid phosphatase (predicted) [Source:PomBase;Acc:SPBP8B7.31]	protein_coding	1	3698072	3699346

SPAC3H8.04	SPAC3H8.04	I	possible chromosome segregation protein (predicted) [Source:PomBase;Acc:SPAC3H8.04]	protein_coding	1	592226	593906

SPBC16A3.02c	SPBC16A3.02c	II	mitochondrial conserved protein (predicted) [Source:PomBase;Acc:SPBC16A3.02c]	protein_coding	1	4296979	4298874

SPAC22A12.06c	SPAC22A12.06c	I	serine hydrolase-like [Source:PomBase;Acc:SPAC22A12.06c]	protein_coding	-1	1163745	1165581

SPBC1539.02	SPBC1539.02	II	conserved eukaryotic nuclear protein implicated in meiotic chromosome segregation [Source:PomBase;Acc:SPBC1539.02]	protein_coding	1	4363863	4367876

SPAC56E4.05	mug69	I	ENV10 family protein (predicted) [Source:PomBase;Acc:SPAC56E4.05]	protein_coding	1	1255324	1256414

SPAC105.02c	SPAC105.02c	I	ankyrin repeat protein, human PPP1R16A ortholog [Source:PomBase;Acc:SPAC105.02c]	protein_coding	-1	1744019	1745658

SPAC3H1.03	mug151	I	mouse transcriptional regulator, HCNGP-like (predicted) [Source:PomBase;Acc:SPAC3H1.03]	protein_coding	1	1935015	1935958

SPBC839.19	new20	II	conserved eukaryotic protein [Source:PomBase;Acc:SPBC839.19]	protein_coding	-1	604418	604920

SPAC25A8.03c	SPAC25A8.03c	I	DUF185 protein, mitochondrial [Source:PomBase;Acc:SPAC25A8.03c]	protein_coding	-1	2096162	2098083

SPAC4G9.14	sym1	I	mitochondrial Mpv17/PMP22 family protein 2 (predicted) [Source:PomBase;Acc:SPAC4G9.14]	protein_coding	1	2280203	2281847

SPAC6B12.04c	SPAC6B12.04c	I	2-aminoadipate transaminase (predicted) [Source:PomBase;Acc:SPAC6B12.04c]	protein_coding	-1	2415952	2418241

SPBC83.10	SPBC83.10	II	transthyretin superfamily member, human ER membrane protein complex subunit 7 ortholog [Source:PomBase;Acc:SPBC83.10]	protein_coding	1	1527616	1528831

SPAC31G5.21	SPAC31G5.21	I	human FAM32A homolog [Source:PomBase;Acc:SPAC31G5.21]	protein_coding	1	3009988	3010684

SPBC18H10.05	SPBC18H10.05	II	WD repeat protein, human WDR44 family [Source:PomBase;Acc:SPBC18H10.05]	protein_coding	1	1779259	1781985

SPAC3A11.11c	SPAC3A11.11c	I	pyridoxal reductase (predicted) [Source:PomBase;Acc:SPAC3A11.11c]	protein_coding	1	3446262	3448081

SPAC8C9.16c	mug63	I	TLDc domain protein 1 [Source:PomBase;Acc:SPAC8C9.16c]	protein_coding	-1	3671926	3673470

SPBC3E7.04c	SPBC3E7.04c	II	Ric8 family guanine nucleotide exchange factor synembryn family [Source:PomBase;Acc:SPBC3E7.04c]	protein_coding	-1	2662488	2664652

SPAC9E9.15	SPAC9E9.15	I	CIA30 protein (predicted) [Source:PomBase;Acc:SPAC9E9.15]	protein_coding	1	4470561	4471415

SPBP4H10.17c	SPBP4H10.17c	II	carboxyl methyl esterase (predicted) [Source:PomBase;Acc:SPBP4H10.17c]	protein_coding	-1	2907178	2908713

SPBC20F10.03	SPBC20F10.03	II	conserved eukaryotic protein [Source:PomBase;Acc:SPBC20F10.03]	protein_coding	1	3287675	3289422

SPAC3G6.03c	SPAC3G6.03c	I	Maf-like protein [Source:PomBase;Acc:SPAC3G6.03c]	protein_coding	-1	5383705	5385561

SPBC21C3.12c	SPBC21C3.12c	II	DUF953 thioredoxin family protein [Source:PomBase;Acc:SPBC21C3.12c]	protein_coding	-1	3816890	3817780

SPAC12G12.15	sif3	I	Sad1 interacting factor Sif3 (predicted) [Source:PomBase;Acc:SPAC12G12.15]	protein_coding	-1	316996	319185

SPAP14E8.05c	SPAP14E8.05c	I	UPF0136 family mitochondrial protein, implicated in heme biosynthesis [Source:PomBase;Acc:SPAP14E8.05c]	protein_coding	-1	1927803	1928465

SPBC4.06	SPBC4.06	II	acid phosphatase (predicted) [Source:PomBase;Acc:SPBC4.06]	protein_coding	1	1195987	1197756

SPAC6C3.02c	SPAC6C3.02c	I	mitochondrial CHCH domain protein (predicted) [Source:PomBase;Acc:SPAC6C3.02c]	protein_coding	-1	2324481	2325288

SPAC17G8.08c	SPAC17G8.08c	I	human TMEM165 homolog, implicated in calcium tranport [Source:PomBase;Acc:SPAC17G8.08c]	protein_coding	-1	2355278	2356601

SPAC15F9.01c	SPAC15F9.01c	I	central kinetochore associated family protein [Source:PomBase;Acc:SPAC15F9.01c]	protein_coding	-1	2397248	2398350

SPBC9B6.03	SPBC9B6.03	II	zf-FYVE type zinc finger protein [Source:PomBase;Acc:SPBC9B6.03]	protein_coding	1	1817454	1819848

SPBC28E12.06c	lvs1	II	beige protein homolog Lvs1 (predicted) [Source:PomBase;Acc:SPBC28E12.06c]	protein_coding	-1	1846387	1854534

SPAC6F6.13c	SPAC6F6.13c	I	DUF726 family protein [Source:PomBase;Acc:SPAC6F6.13c]	protein_coding	-1	2756318	2758924

SPAC688.03c	SPAC688.03c	I	human AMMECR1 homolog [Source:PomBase;Acc:SPAC688.03c]	protein_coding	-1	3114508	3115380

SPBC16H5.14c	SPBC16H5.14c	II	short chain dehydrogenase DHRS family (predicted) [Source:PomBase;Acc:SPBC16H5.14c]	protein_coding	1	2268073	2270305

SPBC36B7.05c	SPBC36B7.05c	II	ubiquitin-protein ligase E3/phosphatidylinositol(3)-phosphate binding protein (predicted) [Source:PomBase;Acc:SPBC36B7.05c]	protein_coding	-1	2390937	2392223

SPAC4H3.06	SPAC4H3.06	I	human C19orf60 homolog [Source:PomBase;Acc:SPAC4H3.06]	protein_coding	1	3837306	3839626

SPBC2D10.03c	SPBC2D10.03c	II	DUF866 domain protein [Source:PomBase;Acc:SPBC2D10.03c]	protein_coding	-1	2968263	2968967

SPBC15D4.13c	SPBC15D4.13c	II	human ASCC1 ortholog [Source:PomBase;Acc:SPBC15D4.13c]	protein_coding	-1	3032492	3033222

SPAC683.02c	SPAC683.02c	I	zf-CCHC type zinc finger protein (predicted) [Source:PomBase;Acc:SPAC683.02c]	protein_coding	-1	4197466	4198686

SPAC2C4.04c	SPAC2C4.04c	I	conserved eukaryotic protein [Source:PomBase;Acc:SPAC2C4.04c]	protein_coding	-1	4265505	4266618

SPBC21.03c	SPBC21.03c	II	DUF55 family protein [Source:PomBase;Acc:SPBC21.03c]	protein_coding	-1	3215872	3219354

SPBC25H2.14	mug16	II	UNC-50 family Golgi memebrane protein [Source:PomBase;Acc:SPBC25H2.14]	protein_coding	-1	3250199	3251263

SPAC1782.12c	SPAC1782.12c	I	DUF423 protein [Source:PomBase;Acc:SPAC1782.12c]	protein_coding	-1	4773459	4775369

SPAC11E3.12	SPAC11E3.12	I	conserved eukaryotic protein, thioredoxin family [Source:PomBase;Acc:SPAC11E3.12]	protein_coding	1	5305696	5308686

